"","x"
"20",1
"2003",1
"21",4
"21세기",1
"25일대통령",1
"3국에만",1
"4강",1
"50",1
"5분의1을",1
"가난",1
"가능",1
"가장빨리",1
"각국",1
"갈림길",1
"감사",4
"갑시",1
"강구",2
"강국",1
"강요",1
"강조",1
"강화",1
"개발",4
"개방화",1
"개선",3
"개척",1
"개혁",3
"개혁해기업하기",1
"건강",1
"건강하고미래지향적이어야",1
"건설",1
"것인지체제안전과경제지원을약속받을",1
"것처럼먼",1
"격차",1
"결단",1
"결의",1
"결정",1
"경제",7
"경축",1
"계승",1
"계층간",1
"계획",1
"계획을포기해야",1
"고급",1
"고령",1
"고속철도",1
"고조",2
"고통",1
"공동번영",1
"공동체",2
"공생",1
"공정",2
"공조",1
"과제",4
"과학",2
"관계",2
"관문으로새롭게태어나야",1
"관심",1
"괄목",1
"광범위",1
"교류",1
"교육",1
"교육과",1
"구비",1
"구조적",1
"구현",1
"국가",4
"국가목표",1
"국리민복",1
"국민",17
"국민이힘을합치면못할",1
"국민통합",1
"국정운영",1
"국제",1
"국제협력",1
"군사적",1
"굴절",1
"귀빈",1
"규모",1
"균형발전",2
"그런날이",1
"극복",5
"근대",1
"금융",1
"기반",3
"기본적",1
"기술",2
"기억",1
"기적",1
"기차표",1
"기초",1
"기회",3
"기회로만드는지혜가",1
"기회주의자",1
"긴밀",1
"긴박",1
"긴장",1
"긴장이냐",1
"김대중",1
"나라",2
"나아",1
"남북한",1
"내부",1
"내실화",1
"내외",1
"냉전",1
"넷째대내외적",1
"노력",3
"노력을기울였습니",1
"노사",1
"노사화합",1
"노약자",1
"농경시대",1
"농어",1
"농어민",1
"뉴스",1
"다리",1
"당당",1
"당리당략",1
"당사자",1
"대결과갈등이아니라",1
"대다수",1
"대륙",1
"대안",1
"대외",1
"대책",1
"대통령",3
"대통령선거의모든과정을",1
"대한민국",2
"대화",6
"도래",2
"도약",2
"도약이냐후퇴냐",1
"도전",4
"도정",1
"도착",1
"독자",1
"동력",2
"동력이고통합은",1
"동북",5
"동북아",8
"동북아가이제",1
"동북아에번영",1
"동북아와",1
"동안",2
"동참",1
